Name,City,District,Street,Postal Address,Phone,Votes,Rating Stars,Kind,Site
Green's Restoranı,Bakı,Nəsimi rayonu,Hacı Zeynalabdin Tağıyev küçəsi,17 AZ1000,(+99412) 493-87-25,*** 3 səs,5,Şərq mətbəxi,http://www.facebook.com/1GREENS1?fref=ts
Günaydın Restoranı,Bakı,Yasamal rayonu,Şıxəli Qurbanov küçəsi,1 AZ1000,(+99412) 595-33-44,No Rating,4,Türk mətbəxi,http://www.facebook.com/pages/Günaydın-Restourant/310614312361938?fref=ts
Gəncə restoranı,Bakı,Xətai rayonu,Nobel prospekti,15 AZ1025,(+99412) 488-67-77,No Rating,4,Azərbaycan mətbəxi,No Site
Halal Süfrə Restoran,Bakı,Bakıxanov qəsəbəsi,Sabunçu rayonu,Nizami İsmayılov küçəsi,(+994) 425-24-62,*** 9 səs,5,Yeməyin çatdırılması,No Site
Half Way Inn Baku,Bakı,28 May küçəsi,Nəsimi rayonu,6 AZ1000,(+99412) 598-09-05,*** 1 səs,5,Kafelər,No Site
Halikarnas Balıkçısı,Bakı,Hövsan qəsəbəsi AZ1000,No Street,No Postal Address,(+99412) 479-96-88,No Rating,4,Türk mətbəxi,http://www.halikarnasbalikcisi.az
Harbour restoranı,Bakı,Səbail rayonu,Neftçilər prospekti,153 AZ1010,(+99412) 404-82-05,*** 5 səs,5,Şərq mətbəxi,http://www.portbaku-dining.az
Hard Rock Cafe Baku,Bakı,Səbail rayonu,Əziz Əliyev küçəsi,8 AZ1000,(+99412) 404-82-28,*** 1 səs,5,Kafelər,http://www.facebook.com/HRCafeBaku
Hasan Usta,Bakı,Yasamal rayonu,Həsənbəy Zərdabi küçəsi,20 AZ1000,(+99412) 565-71-35,*** 1 səs,5,Fast-fud,No Site
Hayat Club,Bakı,Xətai rayonu,Rövşən Əliyev küçəsi,10 AZ1000,(+99412) 490-68-54,No Rating,4,Kafelər,http://www.facebook.com/hayatclub.az
Hezin Lounge Restaurant,Bakı,Nəsimi rayonu,Rəşid Behbudov küçəsi,1/138 AZ1000,(+99412) 441-06-13,*** 1 səs,5,Restoranlar,http://www.hezinlounge.com
Hollywood,Bakı,8-ci mikrorayon,Azadlıq prospekti,Süleyman Sani Axundov küçəsi AZ1000,(+99412) 562-91-81,*** 3 səs,5,Əyləncə mərkəzləri,http://www.holly.az
Hong Kong Restoranı,Bakı,Yasamal rayonu,Bəsti Bağırova küçəsi,2 AZ1000,(+99412) 436-97-50,*** 3 səs,5,Asiya mətbəxi,http://www.maestrogroup.az/hongkong/30.html
Hookah House,Bakı,Nərimanov rayonu,Həsənoğlu küçəsi,15A AZ1000,(+99412) 564-25-55,No Rating,4,Kafelər,http://www.facebook.com/hookahhousebaku/timeline?ref=page_internal
